+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Abdel Ahmed Ghili                                                 |               1 |
| Andrea Eckert                                                     |               1 |
| Hanno Pöschl                                                      |               1 |
| Sam Neill                                                         |               1 |
| Laura Dern                                                        |               1 |
| Jeff Goldblum                                                     |               1 |
| Pete Postlethwaite                                                |               1 |
| Alison Crosbie                                                    |               1 |
| Philip King                                                       |               1 |
| Robert Sean Leonard                                               |               1 |
| Josh Charles                                                      |               1 |
| Cary Elwes                                                        |               1 |
| Mandy Patinkin                                                    |               1 |
| Chris Sarandon                                                    |               1 |
| Wil Wheaton                                                       |               1 |
| River Phoenix                                                     |               1 |
| Corey Feldman                                                     |               1 |
| Jerry O`Connell                                                   |               1 |
| Charlie Sheen                                                     |               1 |
| Tom Berenger                                                      |               1 |
| Harry Dean Stanton                                                |               1 |
| Nastassja Kinski                                                  |               1 |
| Dean Stockwell                                                    |               1 |
| Aurore Clément                                                    |               1 |
| Sumi Shimamoto                                                    |               1 |
| Mahito Tsujimura                                                  |               1 |
| Hisako Kyôda                                                      |               1 |
| Gorô Naya                                                         |               1 |
| Kurt Russell                                                      |               1 |
| Wilford Brimley                                                   |               1 |
| Richard Masur                                                     |               1 |
| Bertil Guve                                                       |               1 |
| Pernilla Allwin                                                   |               1 |
| Kristina Adolphson                                                |               1 |
| Börje Ahlstedt                                                    |               1 |
| Rutger Hauer                                                      |               1 |
| Sean Young                                                        |               1 |
| Edward James Olmos                                                |               1 |
| Anne Bancroft                                                     |               1 |
| John Gielgud                                                      |               1 |
